blue1,blue2,blue3,blue4,blue5,red1,red2,red3,red4,red5,result,league,atakhans,opp_atakhans,golddiffat25,golddiffat20,golddiffat15,golddiffat10,firstmidtower,firstherald,dragons,opp_dragons,void_grubs,opp_void_grubs
Taliyah,Wukong,Ambessa,Xayah,Rakan,Naafiri,Sion,Ezreal,Azir,Neeko,1,LCKC,1.0,0.0,7099.0,5528.0,883.0,-56.0,1.0,1.0,4.0,0.0,0.0,2.0
Gwen,Xin Zhao,Ryze,Leona,Miss Fortune,Jayce,Pantheon,Viktor,Lucian,Nautilus,1,LCKC,1.0,0.0,5718.0,2775.0,3200.0,1200.0,1.0,1.0,4.0,0.0,3.0,0.0
Renekton,Tristana,Ivern,Mel,Rell,Ornn,Lillia,Corki,Alistar,Kai'Sa,1,LCKC,1.0,0.0,10849.0,5931.0,1753.0,214.0,1.0,0.0,3.0,2.0,3.0,0.0
Azir,Skarner,Nidalee,Lucian,Braum,Xin Zhao,Gwen,Ahri,Alistar,Senna,1,LCK,1.0,0.0,6622.0,2897.0,-1542.0,-565.0,1.0,0.0,2.0,2.0,2.0,1.0
Taliyah,Sejuani,Jayce,Ezreal,Rell,Naafiri,Hwei,Ornn,Miss Fortune,Nautilus,1,LCK,1.0,0.0,-1021.0,-19.0,1166.0,1328.0,0.0,0.0,4.0,3.0,3.0,0.0
Vi,Varus,Renata Glasc,Renekton,Aurora,Xayah,Rakan,Pantheon,Galio,Gnar,1,LCK,1.0,0.0,4181.0,6045.0,1898.0,932.0,1.0,1.0,4.0,0.0,3.0,0.0
Taliyah,Wukong,Gwen,Lucian,Braum,Xin Zhao,Ryze,Jayce,Alistar,Senna,0,LCK,0.0,1.0,-2881.0,-1468.0,-944.0,-148.0,1.0,1.0,1.0,3.0,3.0,0.0
Azir,Pantheon,Neeko,Ezreal,Sion,Kalista,Renata Glasc,Ambessa,Hwei,Trundle,1,LCK,0.0,1.0,595.0,3264.0,-797.0,58.0,1.0,1.0,1.0,4.0,2.0,1.0
Varus,Taliyah,Nautilus,Nidalee,Poppy,Azir,Xin Zhao,Ambessa,Kalista,Renata Glasc,1,LCKC,1.0,0.0,5791.0,4159.0,3417.0,1492.0,1.0,1.0,4.0,0.0,3.0,0.0
Nidalee,Sion,Azir,Miss Fortune,Alistar,Jayce,Lee Sin,Akali,Ezreal,Braum,0,LCKC,0.0,1.0,4012.0,6796.0,5132.0,2700.0,1.0,1.0,2.0,2.0,0.0,3.0
Pantheon,Ryze,Galio,Jhin,Nautilus,Rumble,Ahri,Wukong,Lucian,Braum,0,LCKC,0.0,1.0,-5969.0,-1503.0,-2098.0,647.0,0.0,1.0,2.0,2.0,3.0,0.0
Jayce,Ryze,Skarner,Kai'Sa,Rell,Rumble,Sejuani,Yone,Ezreal,Braum,1,LCKC,1.0,0.0,12079.0,5218.0,3653.0,829.0,1.0,1.0,3.0,0.0,3.0,0.0
Jayce,Nidalee,Ezreal,Corki,Maokai,Taliyah,Xin Zhao,Miss Fortune,Rell,Irelia,1,LCKC,0.0,1.0,3024.0,90.0,1095.0,1919.0,0.0,1.0,4.0,0.0,3.0,0.0
Pantheon,Gwen,Ahri,Jhin,Leona,Rumble,Naafiri,Orianna,Rakan,Xayah,0,LCKC,0.0,1.0,-786.0,1505.0,1701.0,425.0,1.0,1.0,0.0,5.0,2.0,1.0
Ahri,Xayah,Rakan,Lee Sin,Sion,Renekton,Viego,Aurora,Miss Fortune,Neeko,0,LCKC,0.0,1.0,-11022.0,-3620.0,-2549.0,-1321.0,0.0,0.0,0.0,4.0,0.0,3.0
Varus,Naafiri,Ambessa,Alistar,Twisted Fate,Hwei,Gnar,Skarner,Senna,Tahm Kench,1,LCKC,0.0,1.0,6689.0,4830.0,1532.0,693.0,1.0,1.0,3.0,2.0,3.0,0.0
Rumble,Sejuani,Yone,Varus,Poppy,Naafiri,Taliyah,Ambessa,Miss Fortune,Nautilus,1,LCK,0.0,1.0,5133.0,4408.0,32.0,31.0,1.0,1.0,4.0,0.0,2.0,1.0
