pick1,pick2,pick3,pick4,pick5,result,poke_avg,cc_avg,mobilidade_avg,tipo_predito
Rumble,Xin Zhao,Ahri,Smolder,Rell,0,0.43600000000000005,1.0,0.8240000000000001,PEEL
Pantheon,Rumble,Ryze,Xayah,Rakan,0,0.578,0.6,0.82,PEEL
Kalista,Renata Glasc,Galio,Xin Zhao,Azir,1,0.5780000000000001,0.8,0.808, POKE
Lee Sin,Yasuo,Nautilus,Jayce,Annie,0,0.48200000000000004,0.6,0.788, PEEL
Varus,Neeko,Gwen,Viego,Aurora,1,0.614,0.6,0.782, POKE
Yorick,Vel'Koz,Galio,Vi,Xerath,1,0.492,1.0,0.768, SIEGE
Taliyah,Jax,Varus,Neeko,Trundle,0,0.53,0.4,0.7819999999999998,MAPA
Taliyah,Naafiri,Gwen,Senna,Nautilus,1,0.55,0.6,0.7759999999999999, POKE
Vi,Sylas,Aurora,Lucian,Braum,0,0.48200000000000004,0.8,0.82,PEEL
Taliyah,K'Sante,Volibear,Aphelios,Thresh,1,0.41200000000000003,0.6,0.76,SPLIT
Xin Zhao,Nidalee,Senna,Nautilus,Hwei,0,0.516,0.8,0.8, POKE
Senna,Trundle,Gwen,Nautilus,Sylas,1,0.484,1.0,0.776, PEEL
Jinx,Dr. Mundo,Gangplank,Rell,Ryze,0,0.518,0.6,0.7859999999999999, POKE
Poppy,Ezreal,Ahri,Ornn,Wukong,1,0.472,0.8,0.8240000000000001,PEEL
Miss Fortune,Alistar,Viktor,Jayce,Maokai,0,0.5660000000000001,0.6,0.7740000000000001, POKE
Vi,Ahri,Vladimir,Lucian,Rell,1,0.49799999999999994,0.6,0.8300000000000001,PEEL
Gwen,Poppy,Viktor,Ezreal,Leona,0,0.524,0.8,0.782, POKE
Yorick,Lillia,Tristana,Jhin,Sett,1,0.53,0.6,0.826,PEEL
Corki,Rell,Cho'Gath,Diana,Yasuo,0,0.44400000000000006,0.4,0.784, WOMBOCOMBO
Pantheon,Lucian,Nami,Ahri,Jax,1,0.518,0.4,0.8459999999999999, SPLIT
Naafiri,Xayah,Nautilus,Orianna,Kennen,0,0.54,0.6,0.7979999999999998, POKE
Sion,Kalista,Neeko,Wukong,Orianna,0,0.53,0.8,0.798, POKE
Ryze,Yorick,Alistar,Zeri,Lee Sin,1,0.4600000000000001,0.8,0.82,PEEL
